gene_symbol,tissue,ntpm
TTLL13,testis,7.6
GBP7,liver,93.7
DNAJC9,bone marrow,86.6
CPLX3,brain,69.2
CPLX3,heart muscle,44.8
CPLX3,lymphoid tissue,117.6
CPLX3,prostate,127.2
CPLX3,retina,91.5
VDAC1,skeletal muscle,979.5
VDAC1,tongue,758.2
ZBTB9,pituitary gland,15.2
NDUFS3,skeletal muscle,318.8
SULT1A4,intestine,27.3
GPSM3,bone marrow,151.7
GPSM3,intestine,65.3
GPSM3,lung,64.8
GPSM3,lymphoid tissue,234.9
LAT,lymphoid tissue,105.7
NCKIPSD,parathyroid gland,114.5
S1PR3,blood vessel,59.3
FAM209B,testis,108.0
UGT2B11,breast,225.4
ATP6V1G2,brain,578.2
KLRK1,bone marrow,20.8
KLRK1,lymphoid tissue,39.4
CEACAM18,intestine,21.4
EMP2,lung,214.6
UBD,lymphoid tissue,141.8
PPM1N,skeletal muscle,167.1
CEACAM16,pancreas,1.9
SLC23A3,intestine,17.3
SLC23A3,kidney,42.6
LTB4R,esophagus,99.2
LTB4R,skin 1,106.0
LTB4R2,esophagus,36.1
LTB4R2,skin 1,44.9
DNASE1,intestine,112.5
DNASE1,kidney,63.2
DNASE1,pancreas,145.6
CCL27,skin 1,456.6
GALT,liver,44.3
HBG1,placenta,346.7
CLDN9,brain,27.1
CLDN9,pituitary gland,28.6
ZNF99,testis,1.5
TM6SF2,intestine,71.1
TM6SF2,liver,32.0
MEF2B,lymphoid tissue,36.7
FBXO16,epididymis,17.3
FBXO16,pituitary gland,16.7
SMCO1,heart muscle,39.4
SMCO1,skeletal muscle,139.7
SMCO1,tongue,99.9
MAGEB1,testis,14.4
TMEM213,kidney,70.9
TMEM213,salivary gland,49.2
PRCD,retina,44.6
SH3D21,thyroid gland,32.8
C19orf38,bone marrow,92.6
MINDY4B,brain,3.6
ANG,liver,2816.4
SPDYE3,testis,2.4
FOXI3,placenta,4.9
FOXI3,retina,1.8
SOGA3,brain,7.7
EFCAB9,testis,9.5
HAUS3,bone marrow,25.4
VSTM5,brain,4.5
VSTM5,placenta,4.1
LCNL1,brain,2.2
LCNL1,testis,1.6
BBIP1,testis,95.9
GNAT3,intestine,1.7
AS3MT,adrenal gland,260.6
FAM187A,choroid plexus,4.5
PLIN5,liver,199.6
PLIN5,skeletal muscle,142.3
SEC14L6,epididymis,13.8
SEC14L6,parathyroid gland,19.7
SPINK13,epididymis,310.2
KRTAP2-2,skin 1,49.4
STARD10,liver,710.4
ZC3H11C,testis,5.1
CPEB1,brain,31.6
CPEB1,testis,30.4
EML6,lymphoid tissue,8.9
EML6,retina,11.3
DEFB113,epididymis,44.6
IQCF5,testis,95.6
IQCF6,testis,23.8
C10orf105,brain,12.8
ARHGEF33,brain,17.5
ARHGEF33,testis,10.4
C12orf71,bone marrow,1.3
C12orf71,testis,2.9
CAPN14,esophagus,175.1
ZBED1,skeletal muscle,67.6
MS4A18,breast,5.6
MS4A18,intestine,17.6
FER1L6,stomach 1,40.7
CDRT15L2,testis,14.9
RAD51AP2,testis,8.8
EVPLL,cervix,7.3
EVPLL,esophagus,17.1
EVPLL,skin 1,6.0
EVPLL,vagina,8.6
DCDC2C,choroid plexus,1.2
DCDC2C,testis,3.0
SMTNL1,skeletal muscle,651.9
SMTNL1,tongue,174.6
PNMA6E,epididymis,3.0
PNMA6E,ovary,1.9
PNMA6E,testis,9.2
SPATA31D1,testis,10.7
NPIPA8,brain,96.1
TBC1D26,testis,15.9
LRRC69,testis,2.7
CRPPA,choroid plexus,8.6
NPIPA7,pituitary gland,75.9
COL28A1,salivary gland,17.3
GRID2IP,brain,2.4
CXorf49B,testis,2.0
CXorf49,testis,5.9
C16orf90,testis,46.7
PRSS41,testis,1.4
MUC5AC,stomach 1,174.8
MSMP,choroid plexus,3.1
MSMP,pituitary gland,1.3
MSMP,placenta,1.1
GOLGA6B,liver,4.0
GOLGA6B,testis,6.1
FAM166B,adrenal gland,474.8
FAM166B,skeletal muscle,299.2
GRXCR1,seminal vesicle,2.4
C5orf49,brain,21.2
C5orf49,choroid plexus,70.4
C5orf49,fallopian tube,71.2
C5orf49,testis,36.6
UBE2QL1,brain,33.7
UBE2QL1,heart muscle,11.2
UBE2QL1,retina,26.3
UBE2QL1,skeletal muscle,37.8
UBE2QL1,tongue,13.0
GOLGA8B,pancreas,193.0
KCNU1,testis,6.5
GAGE12G,testis,57.9
GAGE10,testis,1.5
RNF212B,kidney,24.2
ZNF705D,epididymis,3.1
SCRT2,brain,3.9
SCRT2,retina,3.6
KRTAP10-4,skin 1,6.9
KRTAP10-1,skin 1,9.5
RPL17-C18orf32,brain,226.7
SIAH3,brain,1.8
SIAH3,fallopian tube,2.9
SIAH3,retina,1.1
EFCAB8,testis,3.4
DEFB115,epididymis,1.0
GAB4,testis,1.9
C20orf202,placenta,2.5
HMX1,brain,1.9
HMX1,retina,2.2
HMX1,testis,1.2
GCGR,kidney,49.3
GCGR,liver,167.2
CELA2B,pancreas,19273.2
FAM72D,bone marrow,3.7
FAM72D,lymphoid tissue,6.2
TNFRSF25,brain,42.2
TNFRSF25,lymphoid tissue,39.8
TNFRSF25,pituitary gland,26.7
ZC3H11B,testis,5.4
RPTN,lymphoid tissue,48.9
RPTN,skin 1,28.1
LACTBL1,retina,3.6
C1orf167,testis,13.6
TTC34,testis,5.4
IFI30,lung,539.6
IFI30,lymphoid tissue,668.3
IGSF23,intestine,14.9
IGSF23,liver,22.9
GAGE12E,testis,13.7
FAM240C,tongue,209.9
CCDC7,testis,74.0
SP9,brain,3.9
SP9,fallopian tube,1.7
SYCE3,testis,133.4
PAM16,skeletal muscle,120.4
CDC14C,retina,4.1
CDC14C,testis,7.0
TENM3,placenta,12.3
TDRD15,testis,5.1
PAPOLB,testis,27.9
CELA3B,pancreas,46793.9
CATSPERZ,testis,544.5
TAFA5,brain,77.6
PPP1R3G,liver,6.0
LINGO3,brain,23.5
LINGO3,lymphoid tissue,6.0
ZGLP1,brain,12.7
VAMP2,brain,463.9
EBF2,adipose tissue,16.7
PPP3R1,brain,153.9
PPP3R1,retina,175.8
PSG3,placenta,133.5
KRTAP10-9,skin 1,10.0
C2orf16,testis,10.1
KRTAP1-5,skin 1,71.2
KRTAP10-10,skin 1,17.1
KRTAP12-2,skin 1,20.6
PLXNA4,adipose tissue,13.0
MAGEA3,testis,7.6
ZNF816-ZNF321P,prostate,1.7
PSG7,placenta,3.9
PSG7,skin 1,1.1
KRTAP1-3,skin 1,88.7
OR3A2,testis,2.7
HMSD,brain,30.9
NPTXR,brain,179.3
POM121L12,testis,12.4
C19orf73,brain,7.1
TRIM16,esophagus,141.5
HEPN1,brain,162.7
FXYD7,brain,322.5
XKR9,intestine,5.0
XKR9,testis,6.9
SLC12A8,thyroid gland,21.0
APOL6,liver,43.5
OR2A1,thyroid gland,1.1
MYBPHL,heart muscle,101.4
RAB6C,breast,2.3
RAB6C,parathyroid gland,3.4
PSMB11,lymphoid tissue,28.5
POTEM,prostate,17.6
POTEM,testis,5.4
DCDC2B,fallopian tube,26.0
IGLV9-49,adrenal gland,117.9
IGLV9-49,lymphoid tissue,110.6
TRIM49D1,liver,3.8
CDRT15,testis,20.0
CKMT1A,brain,73.9
CKMT1A,esophagus,82.6
CKMT1A,intestine,70.3
TINCR,esophagus,37.8
TINCR,skin 1,134.3
CENPVL1,brain,3.7
EBLN1,testis,1.9
HBD,bone marrow,2634.4
SUPT20HL2,skeletal muscle,1.8
SUPT20HL2,testis,1.5
RFPL4A,epididymis,1.5
RFPL4A,liver,4.2
RFPL4A,testis,1.8
IGHV3-64,intestine,18.4
IGHV3-64,lymphoid tissue,30.3
IGHV3-64,salivary gland,20.7
CERS1,brain,163.8
HLA-DPB1,lung,261.7
HLA-DPB1,lymphoid tissue,376.0
C1QTNF5,choroid plexus,554.7
IGKV3D-15,intestine,118.4
IGKV3D-15,lymphoid tissue,189.0
IGKV3D-15,salivary gland,50.8
IGKV3D-15,stomach 1,82.0
IGKV3D-15,urinary bladder,54.5
ETDB,testis,11.2
CENPVL3,brain,5.0
CENPVL3,testis,3.5
IGHV4-59,intestine,492.0
IGHV4-59,lymphoid tissue,851.1
IGHV4-59,urinary bladder,659.9
PRR29,choroid plexus,16.5
PRR29,fallopian tube,54.8
C4B,adrenal gland,174.9
C4B,liver,262.1
CXorf51A,testis,67.3
SMIM13,brain,28.2
GPX5,epididymis,8.7
IGHV3-74,esophagus,81.9
IGHV3-74,intestine,102.7
IGHV3-74,lymphoid tissue,291.0
IGHV3-74,salivary gland,100.2
GAGE12J,testis,21.6
NPIPA3,brain,25.3
GAGE12H,testis,23.2
APOC4-APOC2,liver,1303.5
PRRT4,adipose tissue,15.6
PRRT4,bone marrow,54.5
PPP4R3C,testis,1.8
TMEM233,skeletal muscle,70.2
TMEM233,tongue,19.8
PNMA6F,brain,25.4
PLEKHM1,esophagus,29.0
FAM236D,testis,2.3
IGKV6D-21,intestine,62.6
IGKV6D-21,lymphoid tissue,142.6
IGKV6D-21,urinary bladder,213.4
MKRN2OS,brain,9.4
ENSG00000225528,bone marrow,1.1
ENSG00000225528,lymphoid tissue,3.7
C2CD4D,brain,1.7
C2CD4D,salivary gland,1.7
C2CD4D,skin 1,2.2
ZNF469,ovary,2.1
IGHV3-72,intestine,76.5
IGHV3-72,lymphoid tissue,114.1
IGHV3-72,urinary bladder,89.3
DEFB131B,epididymis,57.2
FAM229A,testis,86.7
NTF4,prostate,19.7
NTF4,skeletal muscle,13.5
NTF4,skin 1,15.6
ELFN1,liver,13.2
TEX22,testis,5.5
CROCC2,choroid plexus,3.0
CROCC2,fallopian tube,5.1
CROCC2,lymphoid tissue,2.1
C8orf90,testis,12.9
KIF4B,testis,3.3
TRBV2,lymphoid tissue,83.0
CT47A12,testis,1.1
ENSG00000226690,fallopian tube,4.1
SRRM5,testis,45.0
MROH5,testis,1.5
ERVMER34-1,parathyroid gland,12.1
ERVMER34-1,placenta,10.2
RBMY1J,testis,1.4
LTA,intestine,1.8
LTA,lymphoid tissue,5.4
LTA,testis,4.1
C14orf132,brain,107.7
ANHX,testis,5.7
TRGC2,bone marrow,26.1
TRGC2,lymphoid tissue,30.0
TRGC2,prostate,21.4
SPANXB1,testis,86.5
KLLN,skeletal muscle,4.1
AKR1B15,breast,156.9
GAGE12D,testis,22.1
LTB,intestine,61.7
LTB,lymphoid tissue,220.1
RD3L,heart muscle,21.8
RD3L,retina,12.4
TEX46,testis,58.5
MRLN,skeletal muscle,176.7
MRLN,tongue,137.2
BOD1L2,testis,253.7
OR2M3,retina,3.4
MT-ATP8,heart muscle,355486.2
ORM2,liver,8192.9
IGKV3D-7,intestine,4.3
IGKV3D-7,lymphoid tissue,5.2
IGKV3D-7,stomach 1,4.2
IGKV3D-7,urinary bladder,5.1
C2orf92,choroid plexus,13.3
C2orf92,testis,11.2
FNDC10,adrenal gland,24.3
FNDC10,brain,27.8
ZNF883,retina,7.7
PROB1,heart muscle,24.7
PROB1,skeletal muscle,75.9
SAPCD1,skin 1,27.5
CT45A5,brain,4.3
CT45A5,testis,4.8
TSPY3,testis,2.8
PGA4,stomach 1,131038.6
ORM1,liver,42168.4
SPINK8,bone marrow,7.9
SPINK8,breast,14.9
SPINK8,fallopian tube,6.7
SPINK8,placenta,5.2
PATL2,bone marrow,7.3
PATL2,lymphoid tissue,15.9
TSPY8,testis,1.3
PRAC2,intestine,9.0
PRAC2,prostate,13.4
H2AL3,testis,4.2
ZNF492,bone marrow,2.4
ZNF492,testis,1.8
TRBV10-2,lymphoid tissue,2.5
PET100,choroid plexus,224.0
PGA3,stomach 1,63357.7
GK3P,testis,12.3
PRPS1L1,testis,29.4
IQCF3,testis,101.9
POTEB2,testis,1.1
TEX53,testis,66.0
ANKRD66,fallopian tube,38.3
TRBV5-4,lymphoid tissue,20.5
TRBV5-4,pancreas,10.9
SPATA31C1,testis,6.9
SSU72P8,testis,1.2
ANKRD18B,brain,7.7
ANKRD18B,testis,4.1
CCDC192,testis,14.4
TEX48,testis,24.7
PRB4,salivary gland,3431.2
ENSG00000230707,adrenal gland,7.4
ENSG00000230707,brain,7.1
ENSG00000230707,testis,2.3
ANKRD63,brain,17.7
YY2,testis,5.4
STMND1,choroid plexus,7.7
STMND1,fallopian tube,16.7
CFAP97D1,testis,12.4
SBK3,heart muscle,30.5
SBK3,tongue,14.1
IGKV1OR2-108,intestine,35.7
IGKV1OR2-108,lymphoid tissue,52.9
HLA-DPA1,lung,516.7
HLA-DPA1,lymphoid tissue,570.0
IGHV4-31,lymphoid tissue,436.1
IGHV4-31,urinary bladder,179.2
TSPAN19,retina,4.0
TSPAN19,testis,4.1
AKAIN1,brain,40.8
CYP21A2,adrenal gland,2046.8
PRH1,salivary gland,222.9
PRH1,testis,56.4
PSG1,placenta,245.4
PPP1R2B,testis,20.5
ZBED9,testis,8.1
TMEM253,intestine,91.3
TEX50,testis,20.0
IGHV3-43,lymphoid tissue,198.3
IGHV3-43,stomach 1,296.0
IGHV3-43,urinary bladder,143.8
ASCL5,pancreas,1.8
TMEM114,seminal vesicle,15.4
AJM1,brain,65.9
KANTR,brain,4.7
HLA-DQB2,skin 1,50.0
TNF,bone marrow,19.9
TNF,lymphoid tissue,6.1
TRBV29-1,lymphoid tissue,91.5
DEFB130A,epididymis,2.4
NPIPA9,brain,597.3
PHGR1,intestine,2480.9
DEFB130B,epididymis,2.4
ERVH48-1,placenta,143.9
RAB6D,parathyroid gland,6.6
RAB6D,prostate,1.7
FAM90A11P,retina,1.1
RNF224,esophagus,3.5
RNF224,pituitary gland,5.0
NPIPB7,testis,27.2
TRGV2,lymphoid tissue,6.2
AK4P3,kidney,1.1
AK4P3,placenta,1.1
BTBD18,testis,2.1
TMEM238,pancreas,20.5
TWIST2,cervix,81.7
PIRT,brain,11.9
PIRT,intestine,4.1
IGHV3OR16-10,intestine,7.4
IGHV3OR16-10,lymphoid tissue,9.6
IGHV3OR16-10,salivary gland,8.4
IGHV3OR16-10,stomach 1,8.2
TSPY4,testis,31.4
POTEB,testis,1.1
CTXN2,brain,2.2
CTXN2,pituitary gland,1.2
CTXN2,retina,1.1
UQCRHL,heart muscle,15.7
IGKV3OR2-268,intestine,93.9
IGKV3OR2-268,lymphoid tissue,79.8
PAGE2,testis,28.3
C16orf82,testis,265.4
TMEM229A,brain,7.3
TMEM229A,intestine,7.9
TMEM229A,testis,5.0
H2BC12L,gallbladder,1.9
H2BC12L,lymphoid tissue,1.4
CCDC188,testis,39.4
RBMY1A1,testis,8.0
KBTBD13,skeletal muscle,28.8
ZNF736,retina,11.4
CLDN34,testis,1.6
C5orf58,testis,201.0
MCIDAS,parathyroid gland,2.6
MCIDAS,stomach 1,1.1
HLA-B,lymphoid tissue,2350.0
C11orf94,testis,54.9
IQCM,testis,4.3
APOC2,liver,8987.5
SHISA8,brain,57.1
C19orf81,testis,6.7
ANKRD65,brain,38.7
FAM237A,brain,1.8
C12orf75,blood vessel,129.2
C12orf75,seminal vesicle,102.9
SMIM1,heart muscle,47.8
SMIM1,testis,47.4
PPP1R3E,retina,43.4
SPAAR,adipose tissue,11.7
SPAAR,breast,10.5
SPAAR,heart muscle,8.7
NFAM1,bone marrow,29.1
NFAM1,lymphoid tissue,18.8
RNF148,testis,48.3
CXorf51B,testis,78.7
ANKRD34C,brain,2.6
MFRP,choroid plexus,314.9
KIAA0040,placenta,94.4
B3GALT4,testis,26.4
LCE6A,skin 1,232.3
PNMA6A,brain,38.5
PATE3,epididymis,149.3
CLEC2L,brain,37.9
CLEC2L,parathyroid gland,13.3
CLEC2L,retina,9.5
SLFN14,bone marrow,3.9
PPIAL4G,intestine,1.6
GAGE12F,testis,99.5
CCDC200,testis,42.1
TSPY10,testis,1.8
UBE2L5,testis,43.1
CT47B1,testis,7.0
ENSG00000236543,skin 1,10.8
ARHGEF38,breast,7.4
ARHGEF38,pancreas,6.1
GAGE12B,testis,132.5
CTAGE9,testis,9.0
ZNF593OS,retina,20.0
C3orf84,testis,6.9
C4orf51,testis,5.5
CDKN2AIPNL,skeletal muscle,76.3
TRBV30,lymphoid tissue,23.6
CKMT1B,brain,112.1
CKMT1B,esophagus,73.3
CKMT1B,intestine,75.6
RNF223,cervix,11.1
RNF223,esophagus,25.8
RNF223,vagina,12.4
PATE4,seminal vesicle,100.5
ENSG00000237378,breast,1.9
PRSS56,brain,2.4
PRSS56,retina,4.9
PRSS56,skeletal muscle,9.1
ZNF737,thyroid gland,35.6
MEIOSIN,testis,7.5
SHISA9,brain,12.2
OR7E24,testis,1.5
TEX51,testis,59.8
HLA-DQA2,lung,21.1
HLA-DQA2,lymphoid tissue,25.8
KIFC1,bone marrow,37.4
KIFC1,lymphoid tissue,44.2
GAGE12C,testis,22.1
PRAMEF33,liver,1.0
TRBV3-1,lymphoid tissue,47.4
AMY1A,salivary gland,7769.4
TSPY9,testis,14.0
LRRC37A2,testis,6.5
MPC1L,testis,17.3
ETDA,testis,16.3
OR2W3,bone marrow,12.2
OR2W3,thyroid gland,5.9
PAGE2B,testis,51.8
CASTOR1,esophagus,50.5
ASB14,skeletal muscle,26.3
ASB14,tongue,16.8
PCDHA13,brain,1.4
PCDHA13,parathyroid gland,3.3
ENSG00000239395,testis,1.3
KLHL41,skeletal muscle,4718.5
KLHL41,tongue,3245.2
IGKV2D-30,intestine,14.3
IGKV2D-30,lymphoid tissue,31.3
IGKV2D-30,stomach 1,20.9
STPG4,testis,13.7
PRR20G,testis,9.0
MEIKIN,testis,5.5
CDRT4,pituitary gland,30.8
APOBEC3G,lymphoid tissue,43.0
TLR9,lymphoid tissue,5.6
IGKV1D-8,intestine,4.3
IGKV1D-8,lymphoid tissue,13.3
IGKV1D-8,salivary gland,5.2
DEFA3,bone marrow,34745.3
IGKV1-6,intestine,145.3
IGKV1-6,lymphoid tissue,564.7
IGKV1-37,intestine,7.7
IGKV1-37,lymphoid tissue,16.1
IGKV1-37,urinary bladder,5.2
KRTAP9-2,skin 1,27.7
C1orf226,liver,20.8
ADSL,skeletal muscle,323.5
ADSL,tongue,226.5
IGKV3-20,intestine,2877.1
IGKV3-20,lymphoid tissue,4893.1
LILRA4,brain,4.3
LILRA4,lymphoid tissue,10.1
IGKV1D-33,intestine,33.8
IGKV1D-33,lung,16.1
IGKV1D-33,lymphoid tissue,60.7
IGKV1D-33,salivary gland,63.1
IGKV1D-33,stomach 1,21.5
LILRA2,bone marrow,14.5
LILRA2,lymphoid tissue,56.9
TEX35,testis,112.2
AMY2B,pancreas,33016.8
IGHJ4,esophagus,196.2
IGHJ4,intestine,232.8
IGHJ4,stomach 1,424.7
IGHJ4,urinary bladder,555.5
STRIT1,skeletal muscle,1862.6
STRIT1,tongue,652.3
PSMB9,lymphoid tissue,140.3
PCDHGC3,brain,360.0
SMKR1,testis,130.6
DEFA1B,lung,563.0
DEFA1B,lymphoid tissue,1718.1
ACAD11,choroid plexus,44.8
ACAD11,kidney,60.1
ACAD11,liver,96.9
IGKV1-17,intestine,350.2
IGKV1-17,lymphoid tissue,423.1
LCE1F,skin 1,154.6
KIR3DL2,lymphoid tissue,1.8
TNFRSF13B,intestine,16.7
TNFRSF13B,lymphoid tissue,29.7
TNFRSF13B,skeletal muscle,58.7
L1TD1,intestine,5.0
L1TD1,lymphoid tissue,4.4
L1TD1,placenta,10.9
L1TD1,testis,5.4
AQP1,blood vessel,765.7
AQP1,choroid plexus,764.5
C1QTNF9,skeletal muscle,7.9
IGKV1-8,intestine,27.7
IGKV1-8,lymphoid tissue,51.3
IGKV1-8,salivary gland,21.1
IGKV1-8,stomach 1,17.5
IGKV1-8,urinary bladder,39.1
PNMA2,brain,113.7
LRRD1,testis,13.8
KRBOX1,testis,191.9
PCDHGC5,brain,28.2
IGKV1-16,intestine,261.3
IGKV1-16,lymphoid tissue,557.2
IGKV1-16,urinary bladder,244.3
KRTAP4-7,skin 1,53.2
PLCXD2,retina,13.7
NSUN6,liver,57.1
HLA-DOB,intestine,18.9
HLA-DOB,lymphoid tissue,40.9
UGT1A9,kidney,428.4
UGT1A9,liver,183.6
KRTAP10-5,skin 1,15.1
OR14A2,testis,2.7
ZNF722,testis,1.6
TDGF1,kidney,18.8
TDGF1,lymphoid tissue,19.7
TDGF1,ovary,9.4
C3orf85,intestine,66.4
C3orf85,kidney,13.0
C3orf85,liver,18.5
KRTAP5-8,kidney,5.7
KRTAP5-8,skin 1,6.9
IGKV1D-16,gallbladder,74.3
IGKV1D-16,intestine,86.0
IGKV1D-16,lymphoid tissue,154.2
IGKV2-24,intestine,255.0
IGKV2-24,lymphoid tissue,461.5
IGKV2-24,urinary bladder,879.0
FBXW10B,esophagus,7.8
FBXW10B,testis,11.6
IGKV3-11,intestine,1282.2
IGKV3-11,lymphoid tissue,2623.2
IGKV3-11,urinary bladder,1710.9
OR5G3,lymphoid tissue,1.4
OR5G3,salivary gland,2.3
PDXP,brain,257.9
PDXP,liver,72.4
CD302,liver,181.2
SSX2,testis,15.6
ARHGAP8,kidney,23.2
ARHGAP8,salivary gland,21.9
CORT,brain,66.5
IGKV2D-24,intestine,18.4
IGKV2D-24,lymphoid tissue,30.0
IGKV2D-24,urinary bladder,14.3
KRTAP9-4,skin 1,37.1
KRTAP5-4,skin 1,4.2
UGT1A1,intestine,189.0
UGT1A1,liver,344.8
INMT,lung,195.0
ENSG00000241690,testis,6.1
TMEFF1,brain,12.9
TMEFF1,testis,3.8
IGKV1-9,intestine,400.0
IGKV1-9,lymphoid tissue,626.1
IGKV1-9,stomach 1,266.7
SPRR2A,cervix,1417.8
SPRR2A,esophagus,5424.3
SPRR2A,vagina,1296.9
ATP5PO,tongue,1494.1
PLEKHO2,lymphoid tissue,98.2
HOGA1,kidney,48.3
HOGA1,liver,54.1
PI4KA,brain,103.1
IGKV1-33,lymphoid tissue,1605.6
IGKV1-33,stomach 1,585.3
IGKV1-33,urinary bladder,570.4
AMACR,kidney,124.7
AMACR,liver,167.6
ARHGDIG,brain,245.6
ARHGDIG,pancreas,105.9
TCP10L,testis,142.6
PSG2,placenta,225.0
BGLAP,brain,12.7
BGLAP,choroid plexus,6.9
BGLAP,intestine,17.8
PEG10,adrenal gland,162.5
PEG10,placenta,439.1
UGT1A8,gallbladder,6.1
UGT1A8,intestine,14.9
UGT1A8,urinary bladder,28.0
IGKV1-39,intestine,92.4
IGKV1-39,lymphoid tissue,191.6
IGKV1-39,salivary gland,98.2
IGKV1-39,stomach 1,78.0
RBMY1E,testis,2.6
PCDHGC4,brain,17.3
PCDHGC4,retina,6.0
GTF2A1L,testis,56.1
IGHJ5,breast,69.1
IGHJ5,intestine,109.1
UGT1A10,gallbladder,20.7
UGT1A10,intestine,74.5
UGT1A10,stomach 1,30.9
IGKV2D-28,intestine,141.3
IGKV2D-28,lymphoid tissue,384.1
IGKV2D-28,salivary gland,209.7
SERPINB10,bone marrow,63.1
HLA-DMB,intestine,76.7
HLA-DMB,lymphoid tissue,100.7
IGKV1D-43,intestine,2.7
IGKV1D-43,lymphoid tissue,4.5
IGKV1D-43,stomach 1,3.4
DECR2,liver,174.4
CNTF,bone marrow,6.5
CNTF,brain,11.6
CCDC169,testis,55.6
RTL5,brain,9.4
IGKV1D-17,intestine,6.7
IGKV1D-17,lymphoid tissue,11.0
IGKV1D-17,salivary gland,5.4
ZNF709,testis,14.6
STRC,brain,40.6
IGHJ3,esophagus,34.2
IGHJ3,pancreas,58.4
ERVW-1,placenta,51.3
IGKV3-7,intestine,17.4
IGKV3-7,lymphoid tissue,20.7
IGKV3-7,salivary gland,15.0
IGKV3-7,stomach 1,9.6
PSG11,placenta,49.9
PSG4,parathyroid gland,52.3
PSG4,placenta,135.5
PCDHAC2,parathyroid gland,40.4
IGKV2-30,intestine,590.1
IGKV2-30,lymphoid tissue,627.0
IGKV2-30,stomach 1,303.7
IGKV2D-29,intestine,234.5
IGKV2D-29,lymphoid tissue,432.7
PRAF2,epididymis,154.3
VSIG8,lymphoid tissue,6.1
VSIG8,skin 1,23.6
IGKV1-12,intestine,369.7
IGKV1-12,lymphoid tissue,736.1
KCTD7,retina,60.9
EFNA4,skin 1,29.2
C4orf48,brain,149.7
C4orf48,pituitary gland,72.7
IGKV1-5,intestine,727.5
IGKV1-5,lymphoid tissue,1363.4
IGKV1-5,urinary bladder,887.2
NAA80,testis,59.4
AMY2A,pancreas,145041.3
KRTAP10-11,skin 1,8.4
TNFRSF6B,lung,53.3
WFDC6,epididymis,210.1
UPK3B,adipose tissue,113.3
UPK3B,esophagus,64.1
UPK3B,lung,47.7
UPK3B,urinary bladder,34.1
SMIM34,kidney,6.5
CFB,liver,2370.8
ZNF487,testis,26.2
LEFTY1,intestine,65.1
LEFTY1,pancreas,91.4
CFAP57,choroid plexus,13.2
CFAP57,fallopian tube,22.0
CFAP57,testis,14.8
KIR2DL3,lymphoid tissue,1.4
APOBEC3D,lymphoid tissue,14.3
TUBA4B,choroid plexus,21.0
TUBA4B,fallopian tube,37.7
MRPS6,choroid plexus,320.1
MRPS6,kidney,308.2
GSTA1,adrenal gland,635.7
GSTA1,intestine,635.6
GSTA1,kidney,880.2
GSTA1,liver,2438.9
RTL9,testis,7.5
ACY1,intestine,170.7
ACY1,kidney,420.7
ACY1,liver,257.3
MT1HL1,heart muscle,5.5
MT1HL1,kidney,1.0
MT1HL1,liver,1.4
KRTAP19-3,skeletal muscle,6.9
KRTAP19-3,skin 1,15.3
LCE3C,lymphoid tissue,22.6
GSTA2,kidney,649.1
GSTA2,liver,1924.8
SPRR2F,cervix,92.6
SPRR2F,esophagus,253.6
SPRR2F,lymphoid tissue,65.8
SPRR2F,ovary,110.5
IGKV2-28,intestine,1022.0
IGKV2-28,lymphoid tissue,1670.1
UGT1A7,esophagus,78.7
TMEM225B,testis,132.2
GMCL2,testis,17.9
IFITM10,adrenal gland,2.4
IFITM10,bone marrow,1.4
IFITM10,retina,1.3
ENSG00000244255,liver,1.7
DBNDD2,brain,1567.7
LY6G6D,skin 1,33.5
RBMY1D,testis,1.3
KRTAP5-7,skin 1,4.8
KRTAP5-7,testis,1.8
CFHR1,liver,1937.3
IGKV3-15,intestine,734.7
IGKV3-15,lymphoid tissue,1863.5
IGKV3-15,urinary bladder,737.4
UGT1A4,liver,367.8
ERVFRD-1,placenta,34.8
LILRA6,lung,8.6
LILRA6,lymphoid tissue,16.2
SCARF2,blood vessel,47.5
KRTAP4-2,skin 1,20.4
IGKV1-27,intestine,250.5
IGKV1-27,lymphoid tissue,323.9
IGKV1-27,salivary gland,171.4
RAD21L1,testis,10.0
CCDC13,fallopian tube,2.7
CCDC13,retina,4.0
CCDC13,testis,2.9
ASPRV1,skin 1,614.8
FCGR2C,placenta,26.6
C4A,adrenal gland,117.5
C4A,liver,341.8
HBB,bone marrow,125480.9
CRYBB2,brain,2.2
CEBPA,adipose tissue,92.7
CEBPA,breast,67.7
CEBPA,liver,198.2
CEBPA,skin 1,115.0
H2AJ,testis,541.3
UBAP1L,brain,15.5
UBAP1L,retina,24.5
SPTY2D1OS,testis,476.4
USP51,epididymis,46.7
INSL3,ovary,121.1
INSL3,testis,382.6
MARCOL,urinary bladder,1.3
ADH1C,intestine,562.7
ADH1C,liver,1927.2
ADH1C,stomach 1,538.9
ENSG00000248235,lymphoid tissue,2.5
APELA,breast,1.4
APELA,kidney,2.0
APELA,prostate,4.0
PCDHAC1,parathyroid gland,28.0
TARM1,bone marrow,6.6
POU5F2,testis,1.8
PCP4L1,brain,191.4
PCP4L1,pituitary gland,86.5
STIMATE-MUSTN1,liver,11.4
LY75-CD302,bone marrow,2.2
LY75-CD302,intestine,1.7
LY75-CD302,lymphoid tissue,2.2
CCDC153,choroid plexus,23.3
CCDC153,fallopian tube,22.8
C4orf54,skeletal muscle,65.7
ACTN3,skeletal muscle,1567.3
