gene_symbol,tissue,ntpm
SP100,bone marrow,177.8
KLF6,bone marrow,412.7
PHKA1,parathyroid gland,30.1
PHKA1,skeletal muscle,96.1
PHKA1,tongue,83.3
CACNB1,skeletal muscle,314.2
CACNB1,tongue,206.3
STOML1,brain,48.7
PKM,skeletal muscle,3777.5
PKM,tongue,2492.1
TRO,skeletal muscle,29.1
PRKCZ,brain,137.3
SYT1,brain,280.3
SYT1,retina,187.2
NAV3,brain,15.2
NAV3,ovary,14.3
PDZD4,brain,269.0
ATP2B3,choroid plexus,106.2
PDK3,blood vessel,33.6
HYAL2,lymphoid tissue,296.8
HDAC4,skeletal muscle,33.2
HDAC4,tongue,24.9
FGFR3,brain,148.8
FGFR3,esophagus,126.6
FGFR3,skin 1,256.5
PLEKHH3,pancreas,39.0
PRR11,bone marrow,17.0
PRR11,lymphoid tissue,19.1
REEP1,testis,42.3
TTC7A,testis,38.0
RASGRP2,bone marrow,139.0
RASGRP2,lymphoid tissue,137.9
PSME4,skeletal muscle,53.7
SIRT2,brain,492.9
SIRT2,skeletal muscle,306.9
SIRT2,tongue,203.7
PPP2R5B,brain,112.8
PYGM,skeletal muscle,7932.8
PYGM,tongue,3356.6
PAGE1,testis,17.0
PITX1,esophagus,701.1
PITX1,vagina,194.5
ADGRF5,lung,99.9
SDK2,cervix,5.2
SDK2,testis,9.1
ADAM7,epididymis,3519.1
BCL3,liver,168.5
KCNAB2,brain,202.4
GAL,pituitary gland,957.4
CLEC2D,lymphoid tissue,50.4
MAOB,liver,296.9
RORA,skin 1,77.7
PLA2G10,intestine,25.4
PLA2G10,stomach 1,39.5
HES2,cervix,17.6
HES2,esophagus,32.0
HES2,skin 1,16.1
HES2,vagina,17.9
NEDD4,skeletal muscle,63.3
NEDD4,tongue,54.3
GNB5,retina,111.3
RAB27A,stomach 1,114.2
GUCY2C,intestine,64.2
SCT,intestine,41.5
NUCB2,pancreas,465.9
NUCB2,salivary gland,478.3
PFN2,brain,341.8
PTPN3,skeletal muscle,59.5
PTPN3,tongue,43.8
SPTB,bone marrow,59.0
SPTB,skeletal muscle,153.7
SPTB,tongue,65.2
DAPP1,esophagus,23.5
DAPP1,lymphoid tissue,36.1
SLC44A1,brain,229.5
TMEM260,cervix,37.3
CLTCL1,skeletal muscle,180.9
CLTCL1,testis,45.3
CLTCL1,tongue,57.3
FGF22,brain,5.6
FGF22,skin 1,13.0
ZXDC,bone marrow,37.2
JMJD6,bone marrow,115.0
POLB,brain,176.1
ST6GALNAC1,cervix,57.5
ST6GALNAC1,intestine,183.8
ST6GALNAC1,stomach 1,61.3
WIPI1,skeletal muscle,119.2
FRMPD1,retina,63.9
ASNS,pancreas,114.4
CNGB1,retina,557.0
ST6GALNAC2,choroid plexus,123.4
CHAT,brain,3.7
CHAT,placenta,5.1
PABPC1,salivary gland,1212.8
CSNK2A2,testis,113.9
CAMK2A,brain,486.6
CAMK2A,skeletal muscle,153.5
EPHA8,choroid plexus,31.5
SLC12A3,kidney,94.2
ATP2B1,bone marrow,89.1
TRPM5,epididymis,1.6
TRPM5,intestine,3.1
TRPM5,pancreas,2.3
TRPM5,seminal vesicle,1.6
MAP4K4,brain,230.3
MGAT4A,bone marrow,90.5
MS4A12,intestine,238.8
ING3,bone marrow,76.0
VASH1,retina,62.8
LMCD1,blood vessel,381.9
LMCD1,skeletal muscle,537.1
SEL1L,pancreas,380.4
TRIP13,testis,27.9
PRLH,brain,1.7
PRLH,heart muscle,1.0
MYO3B,epididymis,13.3
MYO3B,kidney,4.9
MYO3B,parathyroid gland,8.3
MYO3B,retina,5.4
CDH19,blood vessel,14.1
CDH19,heart muscle,35.4
CDH19,intestine,18.6
SLC6A15,brain,13.0
SLC6A15,retina,14.6
RDH11,prostate,546.2
PRKACA,skeletal muscle,276.2
ADGRL1,brain,70.4
SPP2,liver,484.9
ACTN1,smooth muscle,499.3
LIMS2,intestine,473.9
ASIC4,brain,5.9
ASIC4,pituitary gland,7.4
ASIC4,retina,6.0
SPEG,blood vessel,206.9
SPEG,intestine,169.5
ALDH3A2,liver,269.4
SREBF1,adrenal gland,150.1
SREBF1,liver,113.9
TRPC5,brain,1.3
