year,geo_name,short_indicator_text,long_indicator_text,stratification1,stratification_group1,stratification2,stratification_group2,cost_value
2021,North Carolina,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Males,Age,75-84,1661.0
2021,Ohio,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Males,Age,65-74,227.9
2021,Nebraska,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Females,Age,18-84,544.0
2021,Florida,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Females,Age,65-74,1587.0
2021,California,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Overall,Age,18-44,215.6
2021,Wisconsin,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Females,Age,18-74,2463.0
2021,Maine,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Overall,Age,18-44,557.0
2021,Tennessee,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Males,Age,18-74,1001.4
2021,Alabama,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Males,Age,45-64,289.2
2021,Washington,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Overall,Age,18-44,3490.0
2021,Indiana,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Males,Age,18-74,2.2
2021,North Carolina,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Females,Age,18-44,491.0
2021,Nebraska,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Overall,Age,65-74,60.0
2021,North Carolina,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Females,Age,45-64,1176.6
2021,Maryland,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Overall,Age,65+,2923.5
2021,Florida,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Females,Age,18-44,16.0
