go_id,aspect
GO:0038158,P
GO:0042981,P
GO:0043066,P
GO:0051897,P
GO:0071345,P
GO:0110053,P
GO:1903146,P
GO:1903747,P
GO:0005758,C
GO:0005667,C
GO:0004725,F
GO:0140793,F
GO:0007501,P
GO:0008016,P
GO:0003755,F
GO:0036004,F
GO:0140309,F
GO:0051604,P
GO:0070585,P
GO:0008009,F
GO:0031728,F
GO:0048018,F
GO:0001938,P
GO:0006935,P
GO:0007010,P
GO:0007165,P
GO:0007267,P
GO:0008360,P
GO:0030838,P
GO:0048245,P
GO:0060326,P
GO:0003746,F
GO:0005525,F
GO:1904678,F
GO:0002181,P
GO:0071025,P
GO:0005249,F
GO:0005272,F
GO:0022841,F
GO:0006813,P
GO:0060075,P
GO:0016324,C
GO:0008076,C
GO:0034705,C
GO:0032673,P
GO:0032674,P
GO:0034134,P
GO:0034142,P
GO:0097029,P
GO:1900744,P
GO:0005534,F
GO:0030246,F
GO:0048030,F
GO:0070492,F
GO:0002519,P
GO:0002826,P
GO:0007565,P
GO:0010629,P
GO:0032682,P
GO:0032689,P
GO:0032720,P
GO:0032729,P
GO:0032735,P
GO:0032736,P
GO:0032753,P
GO:0032757,P
GO:0038066,P
GO:0043305,P
GO:0045953,P
GO:0046007,P
GO:0046598,P
GO:0051132,P
GO:0060135,P
GO:0070241,P
GO:0070371,P
GO:0070555,P
GO:0071346,P
GO:0071636,P
GO:0071639,P
GO:1901224,P
GO:2000406,P
GO:2000510,P
GO:2000562,P
GO:2000563,P
GO:2000670,P
GO:2001190,P
GO:2001200,P
GO:0043312,P
GO:0045955,P
GO:0070527,P
GO:0031091,C
GO:0070820,C
GO:0001855,F
GO:0004252,F
GO:0001867,P
GO:0008320,F
GO:0006605,P
GO:0006886,P
GO:0006892,P
GO:0006895,P
GO:0090160,P
GO:0031904,C
GO:0032588,C
GO:0030124,C
GO:0007155,P
GO:0019003,F
GO:0031489,F
GO:0045921,P
GO:0071985,P
GO:0005795,C
GO:0030140,C
GO:0031088,C
GO:0032585,C
GO:0042470,C
GO:0090200,P
GO:0019903,F
GO:0030742,F
GO:0032438,P
GO:0003676,F
GO:0004027,F
GO:0015485,F
GO:0036094,F
GO:0050294,F
GO:0051922,F
GO:1990239,F
GO:0008202,P
GO:0008203,P
GO:0045606,P
GO:0050427,P
GO:0031663,P
GO:0001530,F
GO:0001875,F
GO:0004888,F
GO:0002224,P
GO:0002755,P
GO:0006909,P
GO:0032497,P
GO:0032722,P
GO:0042116,P
GO:0071260,P
GO:0140052,P
GO:1900017,P
GO:1903974,P
GO:1904466,P
GO:1904646,P
GO:2000343,P
GO:0001891,C
GO:0009897,C
GO:0043235,C
GO:0046696,C
GO:0007266,P
GO:0030032,P
GO:0045785,P
GO:0048041,P
GO:0051017,P
GO:0003682,F
GO:0042393,F
GO:0050750,F
GO:0070064,F
GO:0010976,P
GO:0050714,P
GO:0030426,C
GO:0045202,C
GO:0005178,F
GO:0098792,P
GO:1904977,P
GO:0031410,C
GO:0003954,F
GO:0008137,F
GO:0006120,P
GO:0045271,C
GO:0050501,F
GO:0005975,P
GO:0030213,P
GO:1900106,P
GO:0036117,C
GO:0043541,C
