gene_symbol,total_submissions,total_alleles,pathogenic_likely_pathogenic_alleles,uncertain_alleles,conflict_alleles,yield_bin
LOC130003663,8,8,,5.0,0.0,none
LOC130003664,8,8,,5.0,0.0,none
LOC130003665,6,6,,3.0,0.0,none
LOC130003666,6,6,,2.0,0.0,none
LOC130003667,6,6,,2.0,0.0,none
LOC130003668,6,6,,2.0,0.0,none
LOC130003669,6,6,,2.0,0.0,none
LOC130003670,6,6,,2.0,0.0,none
LOC130003671,7,7,,2.0,0.0,none
LOC130003672,7,7,,2.0,0.0,none
LOC130003673,8,8,,2.0,0.0,none
LOC130003674,7,7,,2.0,0.0,none
LOC130003675,7,7,,2.0,0.0,none
LOC130003676,6,6,,1.0,0.0,none
LOC130003677,6,6,,1.0,0.0,none
LOC130003678,6,6,,1.0,0.0,none
LOC130003679,6,6,,1.0,0.0,none
LOC130003680,6,6,,1.0,0.0,none
LOC130003681,4,4,,1.0,0.0,none
LOC130003682,4,4,,1.0,0.0,none
LOC130003683,4,4,,1.0,0.0,none
LOC130003684,4,4,,1.0,0.0,none
LOC130003685,4,4,,1.0,0.0,none
LOC130003686,4,4,,1.0,0.0,none
LOC130003687,4,4,,1.0,0.0,none
LOC130003688,4,4,,1.0,0.0,none
LOC130003689,4,4,,1.0,0.0,none
LOC130003690,4,4,,1.0,0.0,none
LOC130003691,9,9,,5.0,0.0,none
LOC130003692,9,9,,6.0,0.0,none
LOC130003693,2,2,,,,none
LOC130003694,3,3,,,,none
LOC130003695,3,3,,,,none
LOC130003696,3,3,,,,none
LOC130003697,3,3,,,,none
LOC130003698,3,3,,1.0,0.0,none
LOC130003699,4,4,,1.0,0.0,none
LOC130003700,4,4,,1.0,0.0,none
LOC130003701,4,4,,1.0,0.0,none
LOC130003702,4,4,,1.0,0.0,none
LOC130003703,7,7,,2.0,0.0,none
LOC130003704,6,6,,2.0,0.0,none
LOC130003705,8,8,,3.0,0.0,none
LOC130003706,9,9,,3.0,0.0,none
LOC130003707,8,8,,3.0,0.0,none
LOC130003708,8,8,,3.0,0.0,none
LOC130003709,8,8,,3.0,0.0,none
LOC130003710,41,31,,8.0,0.0,none
LOC130003711,7,7,,2.0,0.0,none
LOC130003712,7,7,,2.0,0.0,none
LOC130003713,7,7,,2.0,0.0,none
LOC130003714,7,7,,2.0,0.0,none
LOC130003715,7,7,,2.0,0.0,none
LOC130003716,7,7,,2.0,0.0,none
LOC130003717,7,7,,2.0,0.0,none
LOC130003718,7,7,,2.0,0.0,none
LOC130003719,7,7,,2.0,0.0,none
LOC130003720,7,7,,2.0,0.0,none
LOC130003721,6,6,,1.0,0.0,none
LOC130003722,6,6,,1.0,0.0,none
LOC130003723,6,6,,1.0,0.0,none
LOC130003724,6,6,,1.0,0.0,none
LOC130003725,5,5,,,,none
LOC130003726,5,5,,,,none
LOC130003727,5,5,,,,none
LOC130003728,5,5,,,,none
LOC130003729,5,5,,,,none
LOC130003730,5,5,,,,none
LOC130003731,5,5,,,,none
LOC130003732,5,5,,,,none
LOC130003733,5,5,,,,none
LOC130003734,5,5,,,,none
LOC130003735,5,5,,,,none
LOC130003736,5,5,,,,none
LOC130003737,5,5,,,,none
LOC130003738,5,5,,,,none
LOC130003739,5,5,,,,none
LOC130003740,6,6,,,,none
LOC130003741,6,6,,,,none
LOC130003742,5,5,,,,none
LOC130003743,5,5,,,,none
LOC130003744,5,5,,,,none
LOC130003745,5,5,,,,none
LOC130003746,5,5,,,,none
LOC130003747,5,5,,,,none
LOC130003748,5,5,,,,none
LOC130003749,5,5,,,,none
LOC130003750,5,5,,,,none
LOC130003751,5,5,,,,none
LOC130003752,5,5,,,,none
LOC130003753,5,5,,,,none
LOC130003754,5,5,,,,none
LOC130003755,5,5,,,,none
LOC130003756,5,5,,,,none
LOC130003757,5,5,,,,none
LOC130003758,5,5,,,,none
LOC130003759,5,5,,,,none
LOC130003760,5,5,,,,none
LOC130003761,6,6,,,,none
LOC130003762,6,6,,,,none
LOC130003763,6,6,,,,none
LOC130003764,6,6,,,,none
LOC130003765,6,6,,,,none
LOC130003766,11,7,,,,none
LOC130003767,20,20,,3.0,0.0,none
LOC130003768,20,20,,3.0,0.0,none
LOC130003769,62,59,,5.0,0.0,none
LOC130003770,61,58,,5.0,0.0,none
LOC130003771,60,57,,5.0,0.0,none
LOC130003772,66,62,,4.0,0.0,none
LOC130003773,66,62,,4.0,0.0,none
LOC130003774,66,62,,4.0,0.0,none
LOC130003775,22,22,,5.0,0.0,none
LOC130003776,22,22,,5.0,0.0,none
LOC130003777,22,22,,5.0,0.0,none
LOC130003778,22,22,,5.0,0.0,none
LOC130003779,22,22,,5.0,0.0,none
LOC130003780,22,22,,5.0,0.0,none
LOC130003781,22,22,,5.0,0.0,none
LOC130003782,22,22,,5.0,0.0,none
LOC130003783,22,22,,5.0,0.0,none
LOC130003784,22,22,,5.0,0.0,none
LOC130003785,22,22,,5.0,0.0,none
LOC130003786,22,22,,5.0,0.0,none
LOC130003787,22,22,,5.0,0.0,none
LOC130003788,22,22,,5.0,0.0,none
LOC130003789,22,22,,5.0,0.0,none
LOC130003790,22,22,,5.0,0.0,none
LOC130003791,22,22,,5.0,0.0,none
LOC130003792,22,22,,5.0,0.0,none
LOC130003793,22,22,,5.0,0.0,none
LOC130003794,22,22,,5.0,0.0,none
LOC130003795,22,22,,5.0,0.0,none
LOC130003796,22,22,,5.0,0.0,none
LOC130003797,23,23,,6.0,0.0,none
LOC130003798,23,23,,6.0,0.0,none
LOC130003799,23,23,,6.0,0.0,none
LOC130003800,23,23,,6.0,0.0,none
LOC130003801,23,23,,6.0,0.0,none
LOC130003802,23,23,,6.0,0.0,none
LOC130003803,24,24,,6.0,0.0,none
LOC130003804,24,24,,6.0,0.0,none
LOC130003805,24,24,,6.0,0.0,none
LOC130003806,55,39,1.0,11.0,0.0,1-5
LOC130003807,28,25,,6.0,0.0,none
LOC130003808,24,24,,6.0,0.0,none
LOC130003809,22,22,,5.0,0.0,none
LOC130003810,13,13,,2.0,0.0,none
LOC130003811,9,9,,1.0,0.0,none
LOC130003812,7,7,,2.0,0.0,none
LOC130003813,7,7,,2.0,0.0,none
LOC130003814,7,7,,2.0,0.0,none
LOC130003815,7,7,,2.0,0.0,none
LOC130003816,7,7,,2.0,0.0,none
LOC130003817,7,7,,2.0,0.0,none
LOC130003818,7,7,,2.0,0.0,none
LOC130003819,7,7,,2.0,0.0,none
LOC130003820,8,8,,3.0,0.0,none
LOC130003821,8,8,,3.0,0.0,none
LOC130003822,8,8,,3.0,0.0,none
LOC130003823,8,8,,3.0,0.0,none
LOC130003824,8,8,,3.0,0.0,none
LOC130003825,8,8,,3.0,0.0,none
LOC130003826,11,9,,3.0,0.0,none
LOC130003827,8,8,,3.0,0.0,none
LOC130003828,8,8,,3.0,0.0,none
LOC130003829,8,8,,3.0,0.0,none
LOC130003830,8,8,,3.0,0.0,none
LOC130003831,8,8,,3.0,0.0,none
LOC130003832,8,8,,3.0,0.0,none
LOC130003833,7,7,,3.0,0.0,none
LOC130003834,7,7,,3.0,0.0,none
LOC130003835,11,11,,7.0,0.0,none
LOC130003836,5,5,,1.0,0.0,none
LOC130003837,5,5,,1.0,0.0,none
LOC130003838,4,4,,1.0,0.0,none
LOC130003839,4,4,,1.0,0.0,none
LOC130003840,10,10,,4.0,0.0,none
LOC130003841,8,8,,2.0,0.0,none
LOC130003842,8,8,,2.0,0.0,none
LOC130003843,6,6,,1.0,0.0,none
LOC130003844,5,5,,1.0,0.0,none
LOC130003845,5,5,,1.0,0.0,none
LOC130003846,5,5,,1.0,0.0,none
LOC130003847,5,5,,,,none
LOC130003848,6,6,,,,none
LOC130003849,5,5,,,,none
LOC130003850,5,5,,,,none
LOC130003851,5,5,,,,none
LOC130003852,5,5,,,,none
LOC130003853,5,5,,,,none
LOC130003854,6,6,,,,none
LOC130003855,6,6,,,,none
LOC130003856,6,6,,,,none
LOC130003857,6,6,,,,none
LOC130003858,6,6,,,,none
LOC130003859,10,10,,4.0,0.0,none
LOC130003860,12,12,,6.0,0.0,none
LOC130003861,6,6,,,,none
LOC130003862,50,37,,23.0,0.0,none
LOC130003863,8,8,,2.0,0.0,none
LOC130003864,6,6,,,,none
LOC130003865,6,6,,,,none
LOC130003866,6,6,,,,none
LOC130003867,6,6,,,,none
LOC130003868,7,7,,1.0,0.0,none
LOC130003869,7,7,,1.0,0.0,none
LOC130003870,8,8,,2.0,0.0,none
LOC130003871,8,8,,2.0,0.0,none
LOC130003872,8,8,,2.0,0.0,none
LOC130003873,8,8,,2.0,0.0,none
LOC130003874,8,8,,2.0,0.0,none
LOC130003875,12,12,,6.0,0.0,none
LOC130003876,8,8,,2.0,0.0,none
LOC130003877,8,8,,2.0,0.0,none
LOC130003878,7,7,,1.0,0.0,none
LOC130003879,7,7,,1.0,0.0,none
LOC130003880,7,7,,1.0,0.0,none
LOC130003881,7,7,,1.0,0.0,none
LOC130003882,7,7,,1.0,0.0,none
LOC130003883,7,7,,1.0,0.0,none
LOC130003884,7,7,,1.0,0.0,none
LOC130003885,7,7,,1.0,0.0,none
LOC130003886,7,7,,1.0,0.0,none
LOC130003887,7,7,,1.0,0.0,none
LOC130003888,7,7,,1.0,0.0,none
LOC130003889,7,7,,1.0,0.0,none
LOC130003890,7,7,,1.0,0.0,none
LOC130003891,7,7,,1.0,0.0,none
LOC130003892,8,8,,2.0,0.0,none
LOC130003893,8,8,,1.0,0.0,none
LOC130003894,8,8,,1.0,0.0,none
LOC130003895,8,8,,2.0,0.0,none
LOC130003896,8,8,,2.0,0.0,none
LOC130003897,8,8,,2.0,0.0,none
LOC130003898,8,8,,2.0,0.0,none
LOC130003899,8,8,,2.0,0.0,none
LOC130003900,8,8,,2.0,0.0,none
LOC130003901,8,8,,2.0,0.0,none
LOC130003902,8,8,,2.0,0.0,none
LOC130003903,8,8,,2.0,0.0,none
LOC130003904,8,8,,2.0,0.0,none
LOC130003905,8,8,,2.0,0.0,none
LOC130003906,11,11,,5.0,0.0,none
LOC130003907,8,8,,2.0,0.0,none
LOC130003908,10,10,,2.0,0.0,none
LOC130003909,8,8,,2.0,0.0,none
LOC130003910,8,8,,2.0,0.0,none
LOC130003911,8,8,,2.0,0.0,none
LOC130003912,8,8,,2.0,0.0,none
LOC130003913,7,7,,1.0,0.0,none
LOC130003914,7,7,,1.0,0.0,none
LOC130003915,7,7,,1.0,0.0,none
LOC130003916,7,7,,1.0,0.0,none
LOC130003917,8,8,,1.0,0.0,none
LOC130003918,8,8,,1.0,0.0,none
LOC130003919,8,8,,1.0,0.0,none
LOC130003920,8,8,,1.0,0.0,none
LOC130003921,10,10,,2.0,0.0,none
LOC130003922,8,8,,1.0,0.0,none
LOC130003923,8,8,,1.0,0.0,none
LOC130003924,8,8,,1.0,0.0,none
LOC130003925,8,8,,1.0,0.0,none
LOC130003926,8,8,,1.0,0.0,none
LOC130003927,8,8,,1.0,0.0,none
LOC130003928,8,8,,1.0,0.0,none
LOC130003929,8,8,,1.0,0.0,none
LOC130003930,8,8,,1.0,0.0,none
LOC130003931,8,8,,1.0,0.0,none
LOC130003932,7,7,,1.0,0.0,none
LOC130003933,7,7,,1.0,0.0,none
LOC130003934,7,7,,1.0,0.0,none
LOC130003935,7,7,,1.0,0.0,none
LOC130003936,7,7,,1.0,0.0,none
LOC130003937,7,7,,1.0,0.0,none
LOC130003938,7,7,,1.0,0.0,none
LOC130003939,7,7,,1.0,0.0,none
LOC130003940,7,7,,1.0,0.0,none
LOC130003941,7,7,,1.0,0.0,none
LOC130003942,7,7,,1.0,0.0,none
LOC130003943,44,41,,28.0,0.0,none
LOC130003944,7,7,,2.0,0.0,none
LOC130003945,7,7,,2.0,0.0,none
LOC130003946,7,7,,2.0,0.0,none
LOC130003947,7,7,,2.0,0.0,none
LOC130003948,7,7,,2.0,0.0,none
LOC130003949,7,7,,2.0,0.0,none
LOC130003950,7,7,,2.0,0.0,none
LOC130003951,7,7,,2.0,0.0,none
LOC130003952,17,17,,11.0,0.0,none
LOC130003953,6,6,,1.0,0.0,none
LOC130003954,6,6,,1.0,0.0,none
LOC130003955,6,6,,1.0,0.0,none
LOC130003956,6,6,,1.0,0.0,none
LOC130003957,14,14,,9.0,0.0,none
LOC130003958,6,6,,1.0,0.0,none
LOC130003959,43,25,2.0,10.0,0.0,1-5
LOC130003960,5,5,,,,none
LOC130003961,5,5,,,,none
LOC130003962,5,5,,,,none
LOC130003963,5,5,,,,none
LOC130003964,5,5,,,,none
LOC130003965,5,5,,,,none
LOC130003966,5,5,,,,none
LOC130003967,5,5,,,,none
LOC130003968,5,5,,,,none
LOC130003969,5,5,,,,none
LOC130003970,5,5,,,,none
LOC130003971,5,5,,,,none
LOC130003972,5,5,,,,none
LOC130003973,5,5,,,,none
LOC130003974,9,7,,,,none
LOC130003975,10,10,,4.0,0.0,none
LOC130003976,5,5,,,,none
LOC130003977,5,5,,,,none
LOC130003978,5,5,,,,none
LOC130003979,5,5,,,,none
LOC130003980,22,18,,3.0,0.0,none
LOC130003981,5,5,,,,none
LOC130003982,5,5,,,,none
LOC130003983,11,7,,,,none
LOC130003984,5,5,,,,none
LOC130003985,5,5,,,,none
LOC130003986,5,5,,,,none
LOC130003987,5,5,,,,none
LOC130003988,5,5,,,,none
LOC130003989,5,5,,,,none
LOC130003990,5,5,,,,none
LOC130003991,5,5,,,,none
LOC130003992,7,6,,,,none
LOC130003993,6,6,,1.0,0.0,none
LOC130003994,23,23,,18.0,0.0,none
LOC130003995,7,7,,2.0,0.0,none
LOC130003996,27,26,,19.0,0.0,none
LOC130003997,6,6,,1.0,0.0,none
LOC130003998,6,6,,1.0,0.0,none
LOC130003999,10,9,,3.0,0.0,none
LOC130004000,6,6,,1.0,0.0,none
LOC130004001,6,6,,1.0,0.0,none
LOC130004002,6,6,,1.0,0.0,none
LOC130004003,6,6,,1.0,0.0,none
LOC130004004,6,6,,1.0,0.0,none
LOC130004005,6,6,,1.0,0.0,none
LOC130004006,6,6,,1.0,0.0,none
LOC130004007,6,6,,1.0,0.0,none
LOC130004008,11,10,,3.0,0.0,none
LOC130004009,6,6,,1.0,0.0,none
LOC130004010,6,6,,1.0,0.0,none
LOC130004011,6,6,,1.0,0.0,none
LOC130004012,6,6,,1.0,0.0,none
LOC130004013,6,6,,1.0,0.0,none
LOC130004014,5,5,,,,none
LOC130004015,6,6,,1.0,0.0,none
LOC130004016,6,6,,1.0,0.0,none
LOC130004017,6,6,,1.0,0.0,none
LOC130004018,6,6,,1.0,0.0,none
LOC130004019,6,6,,1.0,0.0,none
LOC130004020,21,18,2.0,3.0,0.0,1-5
LOC130004021,6,6,,1.0,0.0,none
LOC130004022,6,6,,1.0,0.0,none
LOC130004023,6,6,,1.0,0.0,none
LOC130004024,7,7,,2.0,0.0,none
LOC130004025,28,22,2.0,6.0,0.0,1-5
LOC130004026,7,7,,2.0,0.0,none
LOC130004027,7,7,,2.0,0.0,none
LOC130004028,7,7,,2.0,0.0,none
LOC130004029,7,7,,2.0,0.0,none
LOC130004030,7,7,,2.0,0.0,none
LOC130004031,5,5,,,,none
LOC130004032,5,5,,,,none
LOC130004033,8,8,,1.0,0.0,none
LOC130004034,5,5,,,,none
LOC130004035,5,5,,,,none
LOC130004036,5,5,,,,none
LOC130004037,7,7,,1.0,0.0,none
LOC130004038,7,6,,,,none
LOC130004039,5,5,,,,none
LOC130004040,5,5,,,,none
LOC130004041,5,5,,,,none
LOC130004042,5,5,,,,none
LOC130004043,5,5,,,,none
LOC130004044,5,5,,,,none
LOC130004045,5,5,,,,none
LOC130004046,5,5,,,,none
LOC130004047,5,5,,,,none
LOC130004048,5,5,,,,none
LOC130004049,5,5,,,,none
LOC130004050,14,14,,8.0,0.0,none
LOC130004051,5,5,,,,none
LOC130004052,5,5,,,,none
LOC130004053,5,5,,,,none
LOC130004054,5,5,,,,none
LOC130004055,5,5,,,,none
LOC130004056,5,5,,,,none
LOC130004057,5,5,,,,none
LOC130004058,5,5,,,,none
LOC130004059,5,5,,,,none
LOC130004060,5,5,,,,none
LOC130004061,6,6,,,,none
LOC130004062,14,14,,9.0,0.0,none
LOC130004063,5,5,,,,none
LOC130004064,11,11,,6.0,0.0,none
LOC130004065,6,6,,,,none
LOC130004066,5,5,,,,none
LOC130004067,18,18,,13.0,0.0,none
LOC130004068,5,5,,,,none
LOC130004069,5,5,,,,none
LOC130004070,5,5,,,,none
LOC130004071,5,5,,,,none
LOC130004072,6,6,,,,none
LOC130004073,6,6,,,,none
LOC130004074,6,6,,,,none
LOC130004075,6,6,,,,none
LOC130004076,6,6,,,,none
LOC130004077,6,6,,,,none
LOC130004078,6,6,,,,none
LOC130004079,12,12,,6.0,0.0,none
LOC130004080,6,6,,,,none
LOC130004081,6,6,,,,none
LOC130004082,6,6,,,,none
LOC130004083,6,6,,,,none
LOC130004084,6,6,,,,none
LOC130004085,5,5,,,,none
LOC130004086,7,7,,1.0,0.0,none
LOC130004087,5,5,,,,none
LOC130004088,11,11,,5.0,0.0,none
LOC130004089,7,7,,2.0,0.0,none
LOC130004090,5,5,,,,none
LOC130004091,9,9,,2.0,0.0,none
LOC130004092,5,5,,,,none
LOC130004093,5,5,,,,none
LOC130004094,5,5,,,,none
LOC130004095,5,5,,,,none
LOC130004096,5,5,,,,none
LOC130004097,5,5,,,,none
LOC130004098,8,8,,3.0,0.0,none
LOC130004099,5,5,,,,none
LOC130004100,5,5,,,,none
LOC130004101,5,5,,,,none
LOC130004102,5,5,,,,none
LOC130004103,6,6,,,,none
LOC130004104,28,18,,3.0,0.0,none
LOC130004105,7,7,,,,none
LOC130004106,6,6,,,,none
LOC130004107,6,6,,,,none
LOC130004108,10,9,,,,none
LOC130004109,118,67,,34.0,0.0,none
LOC130004110,5,5,,,,none
LOC130004111,5,5,,,,none
LOC130004112,6,6,,,,none
LOC130004113,5,5,,,,none
LOC130004114,5,5,,,,none
LOC130004115,6,6,,1.0,0.0,none
LOC130004116,6,6,,1.0,0.0,none
LOC130004117,4,4,,,,none
LOC130004118,4,4,,,,none
LOC130004119,4,4,,,,none
LOC130004120,5,5,,,,none
LOC130004121,4,4,,,,none
LOC130004122,4,4,,,,none
LOC130004123,4,4,,,,none
LOC130004124,4,4,,,,none
LOC130004125,4,4,,,,none
LOC130004126,4,4,,,,none
LOC130004127,4,4,,,,none
LOC130004128,17,17,,12.0,0.0,none
LOC130004129,4,4,,,,none
LOC130004130,8,5,,,,none
LOC130004131,4,4,,,,none
LOC130004132,7,7,,3.0,0.0,none
LOC130004133,7,7,,3.0,0.0,none
LOC130004134,24,24,,15.0,0.0,none
LOC130004135,4,4,,,,none
LOC130004136,9,9,,2.0,0.0,none
LOC130004137,4,4,,,,none
LOC130004138,4,4,,,,none
LOC130004139,5,5,,2.0,0.0,none
LOC130004140,4,4,,1.0,0.0,none
LOC130004141,4,4,,1.0,0.0,none
LOC130004142,4,4,,1.0,0.0,none
LOC130004143,9,7,,2.0,0.0,none
LOC130004144,46,34,3.0,7.0,0.0,1-5
LOC130004145,3,3,,1.0,0.0,none
LOC130004146,3,3,,1.0,0.0,none
LOC130004147,3,3,,1.0,0.0,none
LOC130004148,2,2,,,,none
LOC130004149,2,2,,,,none
LOC130004150,2,2,,,,none
LOC130004151,2,2,,,,none
LOC130004152,2,2,,,,none
LOC130004153,2,2,,,,none
LOC130004154,2,2,,,,none
LOC130004155,2,2,,,,none
LOC130004156,2,2,,,,none
LOC130004157,3,3,,,,none
LOC130004158,3,3,,,,none
LOC130004159,3,3,,,,none
LOC130004160,3,3,,,,none
LOC130004161,3,3,,,,none
LOC130004162,3,3,,,,none
LOC130004163,3,3,,,,none
LOC130004164,3,3,,,,none
LOC130004165,3,3,,,,none
LOC130004166,3,3,,,,none
LOC130004167,3,3,,,,none
LOC130004168,3,3,,,,none
LOC130004169,3,3,,,,none
LOC130004170,3,3,,,,none
LOC130004171,3,3,,,,none
LOC130004172,3,3,,,,none
LOC130004173,3,3,,,,none
LOC130004174,3,3,,,,none
LOC130004175,3,3,,,,none
LOC130004176,3,3,,,,none
LOC130004177,3,3,,,,none
LOC130004178,3,3,,,,none
LOC130004179,2,2,,,,none
LOC130004180,1,1,,,,none
LOC130004181,1,1,,,,none
LOC130004182,1,1,,,,none
LOC130004183,15,15,,4.0,0.0,none
LOC130004184,44,35,,15.0,0.0,none
LOC130004185,16,16,,4.0,0.0,none
LOC130004186,14,14,,2.0,0.0,none
LOC130004187,14,14,,2.0,0.0,none
LOC130004188,14,14,,2.0,0.0,none
LOC130004189,13,13,,1.0,0.0,none
LOC130004190,13,13,,1.0,0.0,none
LOC130004191,12,12,,,,none
LOC130004192,12,12,,,,none
LOC130004193,12,12,,,,none
LOC130004194,12,12,,,,none
LOC130004195,12,12,,,,none
LOC130004196,12,12,,,,none
LOC130004197,12,12,,,,none
LOC130004198,12,12,,,,none
LOC130004199,12,12,,,,none
LOC130004200,12,12,,,,none
LOC130004201,12,12,,,,none
LOC130004202,12,12,,,,none
LOC130004203,12,12,,,,none
LOC130004204,12,12,,,,none
LOC130004205,12,12,,,,none
LOC130004206,12,12,,,,none
LOC130004207,12,12,,,,none
LOC130004208,12,12,,,,none
LOC130004209,12,12,,,,none
LOC130004210,12,12,,,,none
LOC130004211,16,16,,4.0,0.0,none
LOC130004212,15,15,,3.0,0.0,none
LOC130004213,15,15,,3.0,0.0,none
LOC130004214,15,15,,3.0,0.0,none
LOC130004215,15,15,,3.0,0.0,none
LOC130004216,18,17,,4.0,0.0,none
LOC130004217,15,15,,3.0,0.0,none
LOC130004218,15,15,,3.0,0.0,none
LOC130004219,15,15,,3.0,0.0,none
LOC130004220,15,15,,3.0,0.0,none
LOC130004221,15,15,,3.0,0.0,none
LOC130004222,15,15,,3.0,0.0,none
LOC130004223,14,14,,,,none
LOC130004224,13,13,,,,none
LOC130004225,14,14,,,,none
LOC130004226,13,13,,,,none
LOC130004227,13,13,,,,none
LOC130004228,13,13,,,,none
LOC130004229,13,13,,,,none
LOC130004230,13,13,,,,none
LOC130004231,13,13,,,,none
LOC130004232,13,13,,,,none
LOC130004233,13,13,,,,none
LOC130004234,13,13,,,,none
LOC130004235,13,13,,,,none
LOC130004236,13,13,,,,none
LOC130004237,15,15,,,,none
LOC130004238,13,13,,,,none
LOC130004239,13,13,,,,none
LOC130004240,13,13,,,,none
LOC130004241,13,13,,,,none
LOC130004242,13,13,,,,none
LOC130004243,27,25,,7.0,0.0,none
LOC130004244,14,14,,1.0,0.0,none
LOC130004245,51,41,3.0,9.0,0.0,1-5
LOC130004246,22,22,,4.0,0.0,none
LOC130004247,22,22,,4.0,0.0,none
LOC130004248,16,16,,,,none
LOC130004249,14,14,,,,none
LOC130004250,14,14,,,,none
LOC130004251,14,14,,,,none
LOC130004252,14,14,,,,none
LOC130004253,12,12,,,,none
LOC130004254,32,22,,4.0,0.0,none
LOC130004255,63,50,,19.0,0.0,none
LOC130004256,12,12,,,,none
LOC130004257,8,8,,,,none
LOC130004258,8,8,,,,none
LOC130004259,7,7,,,,none
LOC130004260,8,8,,2.0,0.0,none
LOC130004261,12,12,2.0,4.0,0.0,1-5
LOC130004262,4,4,,,,none
LOC130004263,4,4,,,,none
LOC130004264,4,4,,,,none
LOC130004265,5,5,,1.0,0.0,none
LOC130004266,5,5,,1.0,0.0,none
LOC130004267,6,6,,1.0,0.0,none
LOC130004268,6,6,,1.0,0.0,none
LOC130004269,7,7,,1.0,0.0,none
LOC130004270,13,13,,6.0,0.0,none
LOC130004271,19,19,,13.0,0.0,none
LOC130004272,7,7,,1.0,0.0,none
LOC130004273,539,315,4.0,277.0,0.0,1-5
LOC130004274,34,32,,17.0,0.0,none
LOC130004275,7,7,,1.0,0.0,none
LOC130004276,4,4,,1.0,0.0,none
LOC130004277,4,4,,1.0,0.0,none
LOC130004278,4,4,,1.0,0.0,none
LOC130004279,4,4,,1.0,0.0,none
LOC130004280,4,4,,1.0,0.0,none
LOC130004281,4,4,,1.0,0.0,none
LOC130004282,4,4,,1.0,0.0,none
LOC130004283,9,6,,2.0,0.0,none
LOC130004284,4,4,,1.0,0.0,none
LOC130004285,3,3,,1.0,0.0,none
LOC130004286,3,3,,1.0,0.0,none
LOC130004287,3,3,,1.0,0.0,none
LOC130004288,4,4,,1.0,0.0,none
LOC130004289,3,3,,1.0,0.0,none
LOC130004290,3,3,,1.0,0.0,none
LOC130004291,3,3,,1.0,0.0,none
LOC130004292,2,2,,1.0,0.0,none
LOC130004293,3,2,,,,none
LOC130004294,7,3,,,,none
LOC130004295,1,1,,,,none
LOC130004296,1,1,,,,none
LOC130004297,1,1,,1.0,0.0,none
LOC130004298,8,8,,7.0,0.0,none
LOC130004299,1,1,,1.0,0.0,none
LOC130004300,1,1,,1.0,0.0,none
LOC130004301,1,1,,1.0,0.0,none
LOC130004302,1,1,,1.0,0.0,none
LOC130004303,1,1,,1.0,0.0,none
LOC130004304,1,1,,1.0,0.0,none
LOC130004305,1,1,,1.0,0.0,none
LOC130004306,1,1,,1.0,0.0,none
LOC130004307,1,1,,1.0,0.0,none
LOC130004308,1,1,,1.0,0.0,none
LOC130004309,1,1,,1.0,0.0,none
LOC130004310,1,1,,1.0,0.0,none
LOC130004311,1,1,,1.0,0.0,none
LOC130004312,1,1,,1.0,0.0,none
LOC130004313,1,1,,1.0,0.0,none
LOC130004314,1,1,,1.0,0.0,none
LOC130004315,1,1,,1.0,0.0,none
LOC130004317,6,5,,3.0,0.0,none
LOC130004319,1,1,,1.0,0.0,none
LOC130004320,2,2,,2.0,0.0,none
LOC130004321,2,2,,2.0,0.0,none
LOC130004322,1,1,,1.0,0.0,none
LOC130004323,1,1,,1.0,0.0,none
LOC130004324,1,1,,1.0,0.0,none
LOC130004325,2,2,,,,none
LOC130004326,3,3,,3.0,0.0,none
LOC130004338,9,9,,8.0,0.0,none
LOC130004340,11,11,,10.0,0.0,none
LOC130004346,6,6,,6.0,0.0,none
LOC130004356,2,2,,,,none
LOC130004357,2,2,,,,none
LOC130004358,2,2,,,,none
LOC130004359,4,4,,2.0,0.0,none
LOC130004360,2,2,,,,none
LOC130004361,2,2,,,,none
LOC130004362,2,2,,,,none
LOC130004363,2,2,,,,none
LOC130004364,2,2,,,,none
LOC130004365,2,2,,,,none
LOC130004366,2,2,,,,none
LOC130004367,2,2,,,,none
LOC130004368,3,3,,1.0,0.0,none
LOC130004369,2,2,,,,none
LOC130004370,8,8,1.0,4.0,0.0,1-5
LOC130004371,16,15,,9.0,0.0,none
LOC130004372,2,2,,,,none
LOC130004373,2,2,,,,none
LOC130004374,2,2,,,,none
LOC130004375,3,3,,,,none
LOC130004376,3,3,,,,none
LOC130004377,3,3,,,,none
LOC130004378,5,5,,,,none
LOC130004379,19,19,,15.0,0.0,none
LOC130004380,3,3,,,,none
LOC130004381,4,4,,1.0,0.0,none
LOC130004382,3,3,,,,none
LOC130004383,6,6,,2.0,0.0,none
LOC130004384,4,4,,1.0,0.0,none
LOC130004385,6,6,,3.0,0.0,none
LOC130004386,44,43,,38.0,0.0,none
LOC130004387,25,25,,19.0,0.0,none
LOC130004388,6,6,,3.0,0.0,none
LOC130004389,8,8,,4.0,0.0,none
LOC130004390,8,8,,4.0,0.0,none
LOC130004391,8,8,,4.0,0.0,none
LOC130004392,8,8,,4.0,0.0,none
LOC130004393,8,8,,4.0,0.0,none
LOC130004394,7,7,,3.0,0.0,none
LOC130004395,7,7,,3.0,0.0,none
LOC130004396,7,7,,3.0,0.0,none
LOC130004397,9,9,,5.0,0.0,none
LOC130004398,7,7,,3.0,0.0,none
LOC130004399,7,7,,3.0,0.0,none
LOC130004400,7,7,,3.0,0.0,none
LOC130004401,7,7,,3.0,0.0,none
LOC130004402,7,7,,3.0,0.0,none
