gene_symbol,total_submissions,total_alleles,pathogenic_likely_pathogenic_alleles,uncertain_alleles,conflict_alleles,yield_bin
ADORA2A,166,157,1.0,95.0,0.0,1-5
ADORA2A-AS1,104,95,,74.0,0.0,none
ADORA2B,105,101,7.0,67.0,0.0,6-20
ADORA3,41,32,,9.0,0.0,none
ADPGK,125,123,,80.0,0.0,none
ADPGK-AS1,33,33,,22.0,0.0,none
ADPRH,89,78,,53.0,0.0,none
ADPRHL1,241,237,,90.0,0.0,none
ADPRM,68,59,,35.0,0.0,none
ADPRS,158,127,22.0,77.0,3.0,21-100
ADRA1A,161,157,1.0,69.0,0.0,1-5
ADRA1B,114,114,,91.0,0.0,none
ADRA1D,153,152,,117.0,0.0,none
ADRA2A,113,108,1.0,68.0,0.0,1-5
ADRA2B,151,142,2.0,86.0,1.0,1-5
ADRA2C,203,202,,70.0,0.0,none
ADRB1,116,105,1.0,59.0,0.0,1-5
ADRB2,63,57,,14.0,0.0,none
ADRB3,152,135,,63.0,0.0,none
ADRM1,114,105,,65.0,0.0,none
ADSL,1364,952,80.0,523.0,44.0,21-100
ADSS1,760,589,34.0,263.0,6.0,21-100
ADSS2,217,172,2.0,50.0,0.0,1-5
ADTRP,77,68,,33.0,0.0,none
AEBP1,1241,838,46.0,307.0,14.0,21-100
AEBP2,128,119,,66.0,0.0,none
AEN,107,106,,63.0,0.0,none
AFAP1,323,295,3.0,169.0,1.0,1-5
AFAP1-AS1,122,107,,53.0,0.0,none
AFAP1L1,160,158,,132.0,0.0,none
AFAP1L2,390,239,1.0,129.0,0.0,1-5
AFDN,212,149,4.0,20.0,0.0,1-5
AFDN-DT,27,24,,,,none
