year,geoid,sex,race_ethnicity,rate,unit,rate_type
2022,02230,Female,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02240,Female,White,79.0,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02261,Female,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02275,Female,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02282,Female,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02290,Female,White,76.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02013,Overall,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02016,Overall,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02020,Overall,Black,99.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02050,Overall,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02060,Overall,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02068,Overall,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02070,Overall,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02090,Overall,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02100,Overall,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02105,Overall,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02110,Overall,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02122,Overall,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02130,Overall,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02150,Overall,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
