pubmed_id,first_author,pub_date,journal,study_title
26582766,Lu X,2015-11-18,Circ Cardiovasc Genet,Genetic Susceptibility to Lipid Levels and Lipid Change Over Time and Risk of Incident Hyperlipidemia in Chinese Populations.
37859345,Sarsani V,2023-10-18,HGG Adv,"A Cross-ancestry genome-wide meta-analysis, fine-mapping, and gene prioritization approach to characterize the genetic architecture of adiponectin."
33402679,Lagou V,2021-01-05,Nat Commun,Sex-dimorphic genetic effects and novel loci for fasting glucose and insulin variability.
41268768,Dacey R,2025-11-01,Alzheimers Dement,Alzheimer's disease multi-ancestry genome-wide interaction and stratified study with smoking.
21372407,Takeuchi F,2011-03-01,Circ J,Confirmation of ALDH2 as a Major locus of drinking behavior and of its variants regulating multiple metabolic phenotypes in a Japanese population.
38776927,Reeve MP,2024-05-15,Am J Hum Genet,Oral and non-oral lichen planus show genetic heterogeneity and differential risk for autoimmune disease and oral cancer.
30108127,Hoffmann TJ,2018-08-14,Genetics,A Large Multi-ethnic Genome-Wide Association Study of Adult Body Mass Index Identifies Novel Loci.
38689001,Keaton JM,2024-04-30,Nat Genet,Genome-wide analysis in over 1 million individuals of European ancestry yields improved polygenic risk scores for blood pressure traits.
37120436,Granot-Hershkovitz E,2023-04-29,Transl Psychiatry,Genetic loci of beta-aminoisobutyric acid are associated with aging-related mild cognitive impairment.
42072355,Miao D,2026-04-02,Biomedicines,Genome-Wide Dissection of the Neutrophil-to-Lymphocyte Ratio Uncovers Polygenic Determinants Linked to Inflammatory Gastrointestinal Disorder Susceptibility.
32226016,Hu Y,2020-03-30,PLoS Genet,Minority-centric meta-analyses of blood lipid levels identify novel loci in the Population Architecture using Genomics and Epidemiology (PAGE) study.
23128233,Jostins L,2012-11-01,Nature,Host-microbe interactions have shaped the genetic architecture of inflammatory bowel disease.
19169255,Zhang XJ,2009-01-25,Nat Genet,Psoriasis genome-wide association study identifies susceptibility variants within LCE gene cluster at 1q21.
32492067,Ruffieux H,2020-06-03,PLoS Comput Biol,A fully joint Bayesian quantitative trait locus mapping of human protein abundance in plasma.
37524825,Rhee EP,2023-07-31,Commun Biol,A genome-wide association study identifies 41 loci associated with eicosanoid levels.
22190364,Patsopoulos NA,2011-12-01,Ann Neurol,Genome-wide meta-analysis identifies novel multiple sclerosis susceptibility loci.
32716492,Simcoe MJ,2020-07-27,Hum Mol Genet,Genome-wide association study of corneal biomechanical properties identifies over 200 loci providing insight into the genetic aetiology of ocular diseases.
28957414,Pilling LC,2017-09-28,PLoS One,"Red blood cell distribution width: Genetic evidence for aging pathways in 116,666 volunteers."
31710517,Allen RJ,2019-11-11,Am J Respir Crit Care Med,Genome-Wide Association Study of Susceptibility to Idiopathic Pulmonary Fibrosis.
22359512,Demirkan A,2012-02-16,PLoS Genet,Genome-wide association study identifies novel loci associated with circulating phospho- and sphingolipid concentrations.
22703881,Tang W,2012-06-14,Am J Hum Genet,"Genetic associations for activated partial thromboplastin time and prothrombin time, their gene expression profiles, and risk of coronary artery disease."
38561338,He XY,2024-04-01,Nat Commun,Genetic associations of protein-coding variants in venous thromboembolism.
30643258,Karlsson Linner R,2019-01-14,Nat Genet,Genome-wide association analyses of risk tolerance and risky behaviors in over 1 million individuals identify hundreds of loci and shared genetic influences.
36764567,Davyson E,2023-02-09,Biol Psychiatry,Metabolomic Investigation of Major Depressive Disorder Identifies a Potentially Causal Association With Polyunsaturated Fatty Acids.
35692035,Borges MC,2022-06-13,BMC Med,"Role of circulating polyunsaturated fatty acids on cardiovascular diseases risk: analysis using Mendelian randomization and fatty acid genetic association data from over 114,000 UK Biobank participants."
32963231,Hofer E,2020-09-22,Nat Commun,"Genetic correlations and genome-wide associations of cortical structure in general population samples of 22,824 adults."
30664655,Adhikari K,2019-01-21,Nat Commun,A GWAS in Latin Americans highlights the convergent evolution of lighter skin pigmentation in Eurasia.
34308111,Amin HA,2021-01-07,BMJ Nutr Prev Health,No evidence that vitamin D is able to prevent or affect the severity of COVID-19 in individuals with European ancestry: a Mendelian randomisation study of open data.
21743469,Evans DM,2011-07-10,Nat Genet,Interaction between ERAP1 and HLA-B27 in ankylosing spondylitis implicates peptide handling in the mechanism for HLA-B27 in disease susceptibility.
20802025,Tang W,2010-08-27,Blood,Genome-wide association study identifies novel loci for plasma levels of protein C: the ARIC study.
28358029,Afshari NA,2017-03-30,Nat Commun,Genome-wide association study identifies three novel loci in Fuchs endothelial corneal dystrophy.
36996866,Choi CK,2023-03-22,Epidemiol Health,No association between C-reactive protein and colorectal cancer survival: Two-sample Mendelian randomization analysis.
30223776,Hwang LD,2018-09-17,BMC Genomics,Bivariate genome-wide association analysis strengthens the role of bitter receptor clusters on chromosomes 7 and 12 in human bitter taste.
26426971,Winkler TW,2015-10-01,PLoS Genet,The Influence of Age and Sex on Genetic Associations with Adult Body Size and Shape: A Large-Scale Genome-Wide Interaction Study.
33437055,Panyard DJ,2021-01-12,Commun Biol,Cerebrospinal fluid metabolomics identifies 19 brain-related phenotype associations.
36093044,Mathieu S,2022-08-20,iScience,Genetic association and Mendelian randomization for hypothyroidism highlight immune molecular mechanisms.
