entity,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Northern Ireland,OWID_NIR,2023-07-11,4600649.0,1430694.0,1361003.0,,75.46,71.78
Burkina Faso,BFA,2023-07-23,7893609.0,6089089.0,5232347.0,4056.0,26.86,23.08
Somalia,SOM,2023-07-25,10555834.0,8972167.0,7666835.0,28134.0,50.99,43.57
Sierra Leone,SLE,2023-07-30,9155936.0,5676123.0,4961886.0,1201709.0,65.96,57.66
Madagascar,MDG,2023-07-30,3092063.0,2710365.0,2628849.0,169187.0,9.15,8.88
Niger,NER,2023-07-30,7372208.0,6248483.0,5483001.0,,23.84,20.92
Mauritius,MUS,2023-07-30,2616012.0,1123773.0,1088142.0,654507.0,86.48,83.74
Sao Tome and Principe,STP,2023-07-30,263863.0,140256.0,111986.0,34624.0,61.68,49.25
Turkmenistan,TKM,2023-08-06,16775970.0,4614869.0,4568901.0,3816400.0,71.76,71.05
Nicaragua,NIC,2023-08-11,15507763.0,6404524.0,6126708.0,2892531.0,92.17,88.17
Honduras,HND,2023-08-11,17074861.0,6596213.0,5853689.0,4872295.0,63.23,56.11
Myanmar,MMR,2023-08-21,93477104.0,41551927.0,35937796.0,15987381.0,76.69,66.33
Belarus,BLR,2023-09-03,22511000.0,6536392.0,6414996.0,5720777.0,68.55,67.28
Central African Republic,CAF,2023-09-03,3342248.0,2600389.0,2484985.0,366221.0,46.61,44.54
Kyrgyzstan,KGZ,2023-09-08,3661335.0,1736541.0,1406016.0,,26.19,21.2
Albania,ALB,2023-09-10,3088966.0,1349255.0,1279333.0,402371.0,47.47,45.01
Andorra,AND,2023-09-24,157072.0,57913.0,53501.0,43071.0,72.53,67.01
South Africa,ZAF,2023-09-24,41798812.0,24210953.0,21038797.0,4410601.0,40.42,35.13
Malawi,MWI,2023-09-24,8503954.0,5433538.0,4288014.0,1232829.0,26.63,21.01
Taiwan,TWN,2023-09-24,68158988.0,21899240.0,20793089.0,25466659.0,91.65,87.02
Guinea,GIN,2023-09-24,12049511.0,8715641.0,5853990.0,425378.0,62.89,42.24
Russia,RUS,2023-09-27,,,79702396.0,,,55.08
Portugal,PRT,2023-09-29,28314797.0,9821414.0,8909769.0,7086326.0,95.62,86.75
Netherlands,NLD,2023-09-29,39764182.0,12582081.0,11768644.0,9416761.0,71.64,67.0
Denmark,DNK,2023-09-29,14961517.0,4746522.0,4712002.0,3617006.0,80.69,80.11
South Sudan,SSD,2023-10-01,4365547.0,4315127.0,4273253.0,513122.0,39.54,39.16
Armenia,ARM,2023-10-01,2256919.0,1150915.0,1030758.0,81354.0,41.39,37.07
Jamaica,JAM,2023-10-03,1528445.0,859773.0,760132.0,46065.0,30.41,26.88
Costa Rica,CRI,2023-10-06,13576935.0,4650636.0,4369784.0,2986527.0,89.77,84.35
Djibouti,DJI,2023-10-08,442199.0,421573.0,401208.0,,37.61,35.79
Cameroon,CMR,2023-10-15,4880572.0,3753733.0,3197286.0,803560.0,13.45,11.45
Guinea-Bissau,GNB,2023-10-15,920752.0,747057.0,547637.0,76359.0,35.48,26.01
Nigeria,NGA,2023-11-05,133048021.0,93829435.0,81297808.0,16826715.0,42.93,37.2
Poland,POL,2023-11-10,58032403.0,22877472.0,,15394535.0,57.4,
Namibia,NAM,2023-11-12,1005937.0,629767.0,550978.0,298560.0,24.53,21.46
Senegal,SEN,2023-11-12,3179647.0,2684696.0,1546628.0,815965.0,15.5,8.93
Uruguay,URY,2023-11-13,9036273.0,3010451.0,2903089.0,3122733.0,87.95,84.82
Pakistan,PAK,2023-11-14,340974144.0,165567890.0,140475871.0,53152375.0,70.21,59.57
Italy,ITA,2023-11-16,144608839.0,50936719.0,47947097.0,47765365.0,86.28,81.21
Mauritania,MRT,2023-11-19,4075874.0,2103754.0,1540597.0,383937.0,44.42,32.53
Togo,TGO,2023-11-19,3423181.0,2255579.0,1554066.0,427804.0,25.49,17.56
Timor,TLS,2023-11-22,2028798.0,886838.0,801759.0,340201.0,66.12,59.77
Nepal,NPL,2023-11-23,62627629.0,27883196.0,24471043.0,10273390.0,91.28,80.11
Indonesia,IDN,2023-11-23,448199860.0,204419394.0,174965137.0,69356250.0,74.2,63.51
Kuwait,KWT,2023-11-26,8261221.0,3457498.0,3346176.0,1457547.0,80.99,78.39
Iran,IRN,2023-11-26,155461757.0,65199831.0,58585264.0,31352288.0,73.63,66.16
Croatia,HRV,2023-11-28,5374628.0,2323025.0,2251809.0,,57.64,55.87
Yemen,YEM,2023-12-10,1298654.0,1050202.0,807057.0,68925.0,3.12,2.4
Peru,PER,2023-12-10,91412580.0,30563708.0,28709644.0,32139228.0,89.76,84.32
Ukraine,UKR,2023-12-23,35735488.0,16267198.0,15741036.0,3294979.0,40.97,39.65
Romania,ROU,2023-12-23,,8188137.0,,,41.65,
Uzbekistan,UZB,2023-12-23,83937954.0,22094470.0,18451781.0,16413048.0,63.81,53.29
Moldova,MDA,2023-12-23,2293086.0,1109524.0,1078961.0,406022.0,33.9,32.97
Tajikistan,TJK,2023-12-23,20568163.0,5328277.0,5191919.0,5322496.0,53.54,52.17
Dominican Republic,DOM,2023-12-28,16430339.0,7367193.0,6130377.0,2574938.0,65.61,54.6
Colombia,COL,2023-12-29,90931192.0,43012174.0,37204128.0,14944212.0,82.92,71.72
Chile,CHL,2023-12-29,66864900.0,,,,,
Haiti,HTI,2023-12-29,680104.0,521396.0,366339.0,,4.5,3.16
Barbados,BRB,2023-12-29,384049.0,163853.0,155047.0,62848.0,58.18,55.05
Cayman Islands,CYM,2023-12-29,152148.0,62113.0,60696.0,24064.0,90.38,88.32
Africa,OWID_AFR,2023-12-31,863237900.0,555027330.0,462411423.0,97944965.0,38.9,32.41
Angola,AGO,2023-12-31,27819132.0,16550642.0,9609080.0,3067091.0,46.5,27.0
Chad,TCD,2023-12-31,9151765.0,5147667.0,5020360.0,4042573.0,29.04,28.33
Low income,OWID_LIC,2023-12-31,333448906.0,241619542.0,204944352.0,30288516.0,32.76,27.79
Afghanistan,AFG,2023-12-31,22964750.0,19151369.0,18370386.0,2729940.0,46.56,44.67
Australia,AUS,2023-12-31,69686752.0,,,,,
Botswana,BWA,2023-12-31,3171667.0,1951054.0,1663490.0,510809.0,74.18,63.24
Burundi,BDI,2023-12-31,42252.0,36909.0,36321.0,314.0,0.29,0.28
Cambodia,KHM,2023-12-31,47826645.0,15316670.0,14693274.0,10782710.0,91.35,87.63
Finland,FIN,2024-01-09,13327120.0,4524288.0,4347113.0,4455719.0,81.65,78.46
South America,OWID_SAM,2024-01-27,964991405.0,375459127.0,337117943.0,257493475.0,85.95,77.18
Argentina,ARG,2024-01-27,116978521.0,41529058.0,34900613.0,37713094.0,91.25,76.69
Belgium,BEL,2024-02-11,31469387.0,,9170945.0,13556521.0,,78.68
Sweden,SWE,2024-02-26,28312817.0,,,,,
Aruba,ABW,2024-03-12,,,84368.0,,,79.25
Malta,MLT,2024-03-19,1408793.0,478953.0,471565.0,492656.0,89.81,88.43
Cuba,CUB,2024-04-12,45995747.0,10805570.0,10053658.0,8792717.0,96.37,89.67
Ireland,IRL,2024-05-10,11148281.0,4112237.0,4065584.0,3211763.0,81.87,80.94
