mec_id,molecule_chembl_id,target_chembl_id,action_type,mechanism_of_action,max_phase,direct_interaction,disease_efficacy,molecular_mechanism
4286,CHEMBL3348923,CHEMBL3559685,INHIBITOR,RAF serine/threonine protein kinase inhibitor,4,True,True,True
4287,CHEMBL259084,CHEMBL4722,INHIBITOR,Serine/threonine-protein kinase Aurora-A inhibitor,1,True,True,True
4288,CHEMBL6067986,CHEMBL203,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,1,True,True,True
4289,CHEMBL6067986,CHEMBL1824,INHIBITOR,Receptor protein-tyrosine kinase erbB-2 inhibitor,1,True,True,True
4290,CHEMBL4871106,CHEMBL4282,INHIBITOR,Serine/threonine-protein kinase AKT inhibitor,2,True,True,True
4291,CHEMBL4871106,CHEMBL4816,INHIBITOR,Serine/threonine-protein kinase AKT3 inhibitor,2,True,True,True
4292,CHEMBL4871106,CHEMBL2111330,INHIBITOR,Ribosomal protein S6 kinase (P70S6K) inhibitor,2,True,True,True
4293,CHEMBL3545321,CHEMBL5443,INHIBITOR,Cell division cycle 7-related protein kinase inhibitor,1,True,True,True
4294,CHEMBL1738758,CHEMBL3024,INHIBITOR,Serine/threonine-protein kinase PLK1 inhibitor,2,True,True,True
4295,CHEMBL3545135,CHEMBL2363065,INHIBITOR,Mitochondrial complex I (NADH dehydrogenase) inhibitor,1,True,True,True
4296,CHEMBL2219421,CHEMBL3559703,INHIBITOR,PI3-kinase class I inhibitor,2,True,True,True
4297,CHEMBL4071161,CHEMBL5251,INHIBITOR,Tyrosine-protein kinase BTK inhibitor,4,True,True,True
4298,CHEMBL3989868,CHEMBL1824,INHIBITOR,Receptor protein-tyrosine kinase erbB-2 inhibitor,4,True,True,True
4299,CHEMBL1614710,CHEMBL1936,INHIBITOR,Stem cell growth factor receptor inhibitor,1,True,True,True
4300,CHEMBL1614710,CHEMBL2095227,INHIBITOR,Vascular endothelial growth factor receptor inhibitor,1,True,True,True
4301,CHEMBL5095025,CHEMBL3559703,INHIBITOR,PI3-kinase class I inhibitor,2,True,True,True
4302,CHEMBL5095025,CHEMBL2842,INHIBITOR,Serine/threonine-protein kinase mTOR inhibitor,2,True,True,True
4303,CHEMBL5095025,CHEMBL5311,INHIBITOR,Serine/threonine-protein kinase receptor R3 inhibitor,2,True,True,True
4304,CHEMBL1684984,CHEMBL3559703,INHIBITOR,PI3-kinase class I inhibitor,2,True,True,True
4305,CHEMBL2141712,CHEMBL2842,INHIBITOR,Serine/threonine-protein kinase mTOR inhibitor,1,True,True,True
4306,CHEMBL3545196,CHEMBL203,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,1,True,True,True
4307,CHEMBL3545196,CHEMBL3650,INHIBITOR,Fibroblast growth factor receptor 1 inhibitor,1,True,True,True
4308,CHEMBL3545196,CHEMBL1913,INHIBITOR,Platelet-derived growth factor receptor beta inhibitor,1,True,True,True
4309,CHEMBL3545196,CHEMBL267,INHIBITOR,Tyrosine-protein kinase SRC inhibitor,1,True,True,True
4310,CHEMBL1738697,CHEMBL279,INHIBITOR,Vascular endothelial growth factor receptor 2 inhibitor,1,True,True,True
4311,CHEMBL3545137,CHEMBL4630,INHIBITOR,Serine/threonine-protein kinase Chk1 inhibitor,1,True,True,True
4312,CHEMBL1084546,CHEMBL2695,INHIBITOR,Focal adhesion kinase 1 inhibitor,1,True,True,True
4313,CHEMBL1938400,CHEMBL260,INHIBITOR,MAP kinase p38 alpha inhibitor,2,True,True,True
4314,CHEMBL3128043,CHEMBL4482,INHIBITOR,Serine/threonine-protein kinase PAK 4 inhibitor,1,True,True,True
4315,CHEMBL4289017,CHEMBL4722,INHIBITOR,Serine/threonine-protein kinase Aurora-A inhibitor,1,True,True,True
4316,CHEMBL4289017,CHEMBL2185,INHIBITOR,Serine/threonine-protein kinase Aurora-B inhibitor,1,True,True,True
4317,CHEMBL2001019,CHEMBL3717,INHIBITOR,Hepatocyte growth factor receptor inhibitor,1,True,True,True
4318,CHEMBL3655081,CHEMBL2835,INHIBITOR,Tyrosine-protein kinase JAK1 inhibitor,4,True,True,True
4319,CHEMBL1230607,CHEMBL3559691,INHIBITOR,Cyclin-dependent kinase inhibitor,1,True,True,True
4320,CHEMBL1963502,CHEMBL203,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,1,True,True,True
4321,CHEMBL1258517,CHEMBL2842,INHIBITOR,Serine/threonine-protein kinase mTOR inhibitor,1,True,True,True
4322,CHEMBL1258517,CHEMBL4005,INHIBITOR,PI3-kinase p110-alpha subunit inhibitor,1,True,True,True
4323,CHEMBL3545004,CHEMBL1957,INHIBITOR,Insulin-like growth factor I receptor inhibitor,1,True,True,True
4324,CHEMBL3639728,CHEMBL1844,INHIBITOR,Macrophage colony stimulating factor receptor inhibitor,1,True,True,True
4325,CHEMBL3545381,CHEMBL1844,INHIBITOR,Macrophage colony stimulating factor receptor inhibitor,1,True,True,True
4326,CHEMBL3545381,CHEMBL2815,INHIBITOR,Nerve growth factor receptor Trk-A inhibitor,1,True,True,True
4327,CHEMBL3545381,CHEMBL4898,INHIBITOR,Neurotrophic tyrosine kinase receptor type 2 inhibitor,1,True,True,True
4328,CHEMBL3545381,CHEMBL5608,INHIBITOR,NT-3 growth factor receptor inhibitor,1,True,True,True
